CS105 F23 Mini-project Responses
Timestamp,What class are you filling out this survey for? Select all that apply.,What is your current class standing?,What is your gender?,How many languages do you know? ,Have you completed any internships?,What is your GPA?,What is your major?,What is your favorite area of Computer Science?,"How many hours, on average, do you spend per day on campus (including both academic and non-academic activities)?","How often do you participate in class (e.g., answering questions or asking questions)?",How do you perceive your overall performance in math and science courses?,How well do you rate your time management skills when it comes to organizing your academic tasks?,How often do you use ChatGPT or similar tools to complete homework?,"Do you find yourself using AI (e.g., ChatGPT) more to complete homework assignments on a time-crunch?",What's your most commonly used language?,What CS-related field do you prefer?,What is your least favorite part of Computer Science?
11/3/2023 15:26:42,CS105,Senior,Male,2,No,3.0-3.5,CS,Software Development,3-5hrs,Rarely,4,4,Rarely (few assignments),No,Python,Hardware/Embedded Systems,Game Development
11/3/2023 15:30:11,CS105,Junior,Male,2,No,3.0-3.5,DS,Machine Learning,3-5hrs,Sometimes,3,3,Rarely (few assignments),No,,,
11/3/2023 15:31:28,CS105,Senior,Female,3,No,3.5-4.0,PHYC,idk,6-8hrs,Rarely,4,4,Sometimes (some assignments),Yes,Python,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 15:31:45,CS105,Junior,Male,2,No,3.5-4.0,CS,Software Development,6-8hrs,Sometimes,4,3,Never (no AI tools are used on my homework),No,C++,Game Development,Artificial Intelligence/Machine Learning
11/3/2023 15:32:06,CS111,Senior,Male,4,Yes,2.5-3.0,TELE SYS,Networks and data,3-5hrs,Sometimes,5,5,Sometimes (some assignments),Yes,,,
11/3/2023 15:37:52,CS105,Freshman,Male,1,No,3.5-4.0,DS,Software Engineering,9+hrs,Sometimes,4,3,Sometimes (some assignments),Yes,,,
11/3/2023 15:39:25,CS105,Graduate,Female,2,No,3.5-4.0,CS,Software enginering,6-8hrs,Often,4,3,Never (no AI tools are used on my homework),No,,,
11/3/2023 15:40:22,CS105,Sophomore,Female,2,,3.0-3.5,DS,code works and runs without bugs,3-5hrs,Rarely,3,2,Rarely (few assignments),No,,,
11/3/2023 15:41:05,CS105,Graduate,Male,4,Yes,3.5-4.0,CS,Data Science,<2hrs,Rarely,4,4,Sometimes (some assignments),No,Python,Data Science,Hardware/Embedded Systems
11/3/2023 15:45:18,CS105,Senior,Male,2,No,2.5-3.0,DS,Artificial Intelligence,9+hrs,Never,3,3,Never (no AI tools are used on my homework),No,Python,Artificial Intelligence/Machine Learning,Data Science
11/3/2023 15:46:21,CS105,Senior,Male,2,Yes,3.0-3.5,BIOCHEM,Data Science,3-5hrs,Rarely,3,3,Sometimes (some assignments),Yes,,,
11/3/2023 15:49:39,CS105,Senior,Male,1,No,3.0-3.5,CS,Don't have one,6-8hrs,Rarely,3,3,Often (most assignments),No,R,Data Science,Hardware/Embedded Systems
11/3/2023 15:52:59,CS105,Senior,Male,2,No,3.0-3.5,CS,coding itself,3-5hrs,Rarely,4,2,Rarely (few assignments),No,Python,Data Science,Artificial Intelligence/Machine Learning
