Timestamp,What class are you filling out this survey for? Select all that apply.,What is your current class standing?,What is your gender?,,What is your GPA?,What is your major?,Why did you choose to major in this field? Select all that apply.,What is your favorite area of Computer Science?,,What was your first programming language?,Around what grade did you learn your first programming language?,What's your most commonly used language?,What is your reason for using that language most frequently?,How many lines of code do you write every week with this language?,What CS-related field do you prefer?,What is your least favorite part of Computer Science?
11/3/2023 15:26:42,CS105,Senior,Male,,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, I am passionate about the field",Software Development,,Python,9-12th grade,Python,Language is helpful with built-in functions,50-100,Hardware/Embedded Systems,Game Development
11/3/2023 15:30:11,CS105,Junior,Male,,3.0-3.5,Data Science,The topics are interesting,Machine Learning,,,,,,,,
11/3/2023 15:31:28,CS105,Senior,Female,,3.5-4.0,Psychology,"The topics are interesting, Advice from family/friends",idk,,C++,College,Python,Language is simplified,<50,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 15:31:45,CS105,Junior,Male,,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, Stable future, I am passionate about the field",Software Development,,C++,9-12th grade,C++,Syntax,<50,Game Development,Artificial Intelligence/Machine Learning
11/3/2023 15:32:06,CS111,Senior,Male,,2.5-3.0,Telecomunications Systems ,"High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Networks and data,,,,,,,,
11/3/2023 15:37:52,CS105,Freshman,Male,,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Software Engineering,,,,,,,,
11/3/2023 15:39:25,CS105,Graduate,Female,,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, I am passionate about the field",Software enginering,,,,,,,,
11/3/2023 15:40:22,CS105,Sophomore,Female,,3.0-3.5,data science,"The topics are interesting, Job market is in high-demand, High salary potential",code works and runs without bugs,,,,,,,,
11/3/2023 15:41:05,CS105,Graduate,Male,,3.5-4.0,Computer Science,"Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Artificial Intelligence,,C,College,Python,Language is helpful with built-in functions,<50,Data Science,Hardware/Embedded Systems
11/3/2023 15:45:18,CS105,Senior,Male,,2.5-3.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",,,Java,9-12th grade,Python,Language is helpful with built-in functions,50-100,Artificial Intelligence/Machine Learning,Data Science
