Timestamp,What class are you filling out this survey for? Select all that apply.,What is your current class standing?,What is your gender?,What is your GPA?,Why did you choose to major in this field? Select all that apply.,What is your favorite area of Computer Science?,"How many Computer Science related events (e.g., hackathons, programming competitions, etc.) have you been to since Fall 2022? ",What's your most commonly used language?,What CS-related field do you prefer?,What is your least favorite part of Computer Science?
11/3/2023 15:26:42,CS105,Senior,Male,3.0-3.5,"The topics are interesting, Job market is in high-demand, I am passionate about the field",Software Development,0,Python,Hardware/Embedded Systems,Game Development
11/3/2023 15:30:11,CS105,Junior,Male,3.0-3.5,The topics are interesting,Machine Learning,0,,,
11/3/2023 15:31:28,CS105,Senior,Female,3.5-4.0,"The topics are interesting, Advice from family/friends",idk,0,Python,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
11/3/2023 15:31:45,CS105,Junior,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, Stable future, I am passionate about the field",Software Development,0,C++,Game Development,Artificial Intelligence/Machine Learning
11/3/2023 15:32:06,CS111,Senior,Male,2.5-3.0,"High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Networks and data,1-3,,,
11/3/2023 15:37:52,CS105,Freshman,Male,3.5-4.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Software Engineering,1-3,,,
11/3/2023 15:39:25,CS105,Graduate,Female,3.5-4.0,"The topics are interesting, Job market is in high-demand, I am passionate about the field",Software enginering,1-3,,,
11/3/2023 15:40:22,CS105,Sophomore,Female,3.0-3.5,"The topics are interesting, Job market is in high-demand, High salary potential",code works and runs without bugs,0,,,
11/3/2023 15:41:05,CS105,Graduate,Male,3.5-4.0,"Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Data Science,1-3,Python,Data Science,Hardware/Embedded Systems
11/3/2023 15:45:18,CS105,Senior,Male,2.5-3.0,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",Artificial Intelligence,0,Python,Artificial Intelligence/Machine Learning,Data Science
