Class,class_standing,gender,gpa,major,major_reason,favorite_area,first_language,first_language_grade,most_used_language,most_used_language_reason,loc_per_week,preferred_field,least_favorite_subject
CS105,Senior,Male,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, I am passionate about the field",Software Development,Python,9-12th grade,Python,Language is helpful with built-in functions,50-100,Hardware/Embedded Systems,Game Development
CS105,Junior,Male,3.0-3.5,Data Science,The topics are interesting,Machine Learning,,,,,,,
CS105,Senior,Female,3.5-4.0,Psychology,"The topics are interesting, Advice from family/friends",idk,C++,College,Python,Language is simplified,<50,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Junior,Male,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, Stable future, I am passionate about the field",Software Development,C++,9-12th grade,C++,Syntax,<50,Game Development,Artificial Intelligence/Machine Learning
CS111,Senior,Male,2.5-3.0,Telecomunications Systems ,"High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Networks and data,,,,,,,
CS105,Freshman,Male,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Software Engineering,,,,,,,
CS105,Graduate,Female,3.5-4.0,CS,"The topics are interesting, Job market is in high-demand, I am passionate about the field",Software enginering,,,,,,,
CS105,Sophomore,Female,3.0-3.5,data science,"The topics are interesting, Job market is in high-demand, High salary potential",code works and runs without bugs,,,,,,,
CS105,Graduate,Male,3.5-4.0,Computer Science,"Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Data Science,C,College,Python,Language is helpful with built-in functions,<50,Data Science,Hardware/Embedded Systems
CS105,Senior,Male,2.5-3.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Pressure from family/friends",Artificial Intelligence,Java,9-12th grade,Python,Language is helpful with built-in functions,50-100,Artificial Intelligence/Machine Learning,Data Science
CS105,Senior,Male,3.0-3.5,Biochemistry,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Data Science,,,,,,,
CS105,Senior,Male,3.0-3.5,Computer Science,"The topics are interesting, High salary potential, Advice from family/friends",Don't have one,Python,9-12th grade,R,Language is simplified,50-100,Data Science,Hardware/Embedded Systems
CS105,Senior,Male,3.0-3.5,CS,"High salary potential, Stable future, I am passionate about the field",coding itself,Java,6-8th grade,Python,Syntax,50-100,Data Science,Artificial Intelligence/Machine Learning
"CS105, CS141",Junior,Female,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Computer networks,Python,6-8th grade,C++,Quick to construct,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Senior,Male,3.5-4.0,CSBA,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",Data Structures,Python,9-12th grade,C++,Syntax,100-200,Data Science,Data Science
CS105,Sophomore,Male,3.0-3.5,Data Science,"The topics are interesting, Job market is in high-demand, Transfer requirements were similar to my first choice(cs)",GameDev/Audio,Python,9-12th grade,Java,required to learn it in school,<50,Game Development,Artificial Intelligence/Machine Learning
CS105,Senior,Female,3.5-4.0,Business ,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",None,Java,College,Python,Classes,<50,Data Science,Data Science
CS141,Senior,Male,2.5-3.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field","Software engineering, Data Analysis",Python,College,Python,Language is helpful with built-in functions,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Graduate,Male,3.0-3.5,Computer Science,High salary potential,"Nothing, I just want the money",C++,9-12th grade,Python,Syntax,50-100,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS111,Junior,Male,3.5-4.0,CS,"Job market is in high-demand, High salary potential, Stable future",The highest-paying one,Java,9-12th grade,C++,School,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Graduate,Male,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Data Science and Machine Learning,C,College,Python,Language is helpful with built-in functions,200-500,Data Science,Hardware/Embedded Systems
"CS105, CS141",Junior,Male,3.0-3.5,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",Software development,C++,College,C++,Syntax,<50,Game Development,Hardware/Embedded Systems
CS141,Senior,Female,3.0-3.5,Data Science ,"The topics are interesting, High salary potential, I am passionate about the field",,C++,College,R,Language is helpful with built-in functions,100-200,Data Science,Game Development
CS105,Junior,Male,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",AI/ML,Java,9-12th grade,C++,Quick to construct,50-100,Artificial Intelligence/Machine Learning,Debugging
CS111,Junior,Female,3.5-4.0,Computer Science,"The topics are interesting, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",AI/Cybersecurity,Java,6-8th grade,C++,School,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS141,Senior,Non-Binary,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends, Bioinformatics isn't offered at UCR",Bioinformatics,C++,College,Python,Mandatory for classes this quarter,50-100,Data Science,Algorithms
CS105,Sophomore,Male,3.5-4.0,Data Science,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field",Artificial Intelligence,Java,9-12th grade,C++,Language is helpful with built-in functions,100-200,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
CS105,Sophomore,Male,3.0-3.5,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future",Web development ,,,,,,,
CS105,Junior,Male,3.5-4.0,Computer Science,"The topics are interesting, Job market is in high-demand, High salary potential, I am passionate about the field",Low Level Languages and Algorithms,C++,9-12th grade,C++,School,100-200,Hardware/Embedded Systems,Data Science
CS105,Senior,Male,3.0-3.5,Encs,"I am passionate about the field, Always knew I want this",Design,C++,,Python,,,Hardware/Embedded Systems,Data Science
CS141,Senior,Female,3.0-3.5,CS,"The topics are interesting, Job market is in high-demand, High salary potential, Stable future, I am passionate about the field, Advice from family/friends",,Java,9-12th grade,C++,Syntax,<50,Artificial Intelligence/Machine Learning,Hardware/Embedded Systems
